Name,University,Course,Start Year,End Year,GPA,Preferred Career,Skills,Certifications,Preferred Location
Tiffany Garcia,IIIT Hyderabad,Cybersecurity,2015,2019,7.52,ML Engineer,"Power BI, C++, R",,Hyderabad
Hunter Mcbride,NIT Warangal,Civil,2020,2024,8.68,Civil Project Manager,"SQL, R, Power BI, MATLAB, Linux",,Ahmedabad
Nicholas Mills,IIT Bombay,Data Science,2021,2025,8.32,Data Analyst,"Linux, Excel, TensorFlow, MATLAB","AutoCAD Professional, Google Data Analytics",Hyderabad
Angie Harrison,IIT Bombay,Computer Science,2022,2026,6.68,Civil Project Manager,"R, Python","Azure Fundamentals, Google Data Analytics",Bangalore
Amy Mejia,IIIT Hyderabad,Data Science,2021,2025,7.12,Mechanical Design Engineer,"MATLAB, AutoCAD, Excel",,Mumbai
Joshua Johnson,BITS Pilani,Biotech,2015,2019,6.31,Mechanical Design Engineer,"TensorFlow, Excel, Linux","Google Data Analytics, Cisco CCNA",Hyderabad
Karla Blair,IIIT Hyderabad,Cybersecurity,2019,2023,6.9,Mechanical Design Engineer,"Power BI, C++, Excel, TensorFlow, Linux",,Hyderabad
Kathleen Hooper,NIT Warangal,Computer Science,2022,2026,7.2,Cybersecurity Analyst,"TensorFlow, MATLAB, SQL, Python",AutoCAD Professional,Ahmedabad
Lauren Moore,IIT Bombay,Mechanical,2021,2025,7.86,Biotech Researcher,"AutoCAD, Java",Scrum Master,Chennai
Donald Torres,IIT Bombay,Mechanical,2018,2022,9.55,ML Engineer,"Java, Excel, AutoCAD, C++, R",AutoCAD Professional,Delhi
Adam Reyes,IIT Madras,AI & ML,2022,2026,6.71,Data Analyst,"Excel, R, C++, Java",AutoCAD Professional,Delhi
Erin Stephens,IIT Bombay,Mechanical,2022,2026,9.37,ML Engineer,"SQL, Linux, MATLAB, Python",Google Data Analytics,Kolkata
Linda Keller,IIIT Hyderabad,Data Science,2016,2020,7.51,Software Engineer,"Java, R, C++, AutoCAD","Scrum Master, Google Data Analytics",Ahmedabad
Mr. Carlos Torres,NIT Trichy,Data Science,2016,2020,6.74,Biotech Researcher,"TensorFlow, MATLAB, R, SQL, Java","Azure Fundamentals, AWS Certified",Chennai
Mrs. Jennifer Reilly,BITS Pilani,Computer Science,2021,2025,7.79,Data Analyst,"C++, R","Cisco CCNA, Azure Fundamentals",Hyderabad
Melissa May,NIT Warangal,Cybersecurity,2015,2019,7.22,Software Engineer,"Excel, AutoCAD, MATLAB",Cisco CCNA,Kolkata
Michael Miller DDS,VIT,Civil,2021,2025,8.07,ML Engineer,"Linux, AutoCAD, SQL",Scrum Master,Bangalore
Kyle Houston,NIT Warangal,Cybersecurity,2018,2022,6.34,Software Engineer,"Power BI, Java, AutoCAD",AWS Certified,Pune
Dr. Hunter Preston,IIT Bombay,Computer Science,2020,2024,7.37,Data Analyst,"AutoCAD, Java",AWS Certified,Pune
Sara Mcbride,IIT Madras,Data Science,2018,2022,6.02,ML Engineer,"Linux, C++, R, Python, AutoCAD",Scrum Master,Pune
Mark Murray,BITS Pilani,Electronics,2022,2026,9.58,Civil Project Manager,"SQL, Python, Linux, MATLAB",,Ahmedabad
Mrs. Mary Hodge MD,VIT,AI & ML,2021,2025,7.21,Data Analyst,"AutoCAD, SQL, MATLAB, Excel, Python","Google Data Analytics, AWS Certified",Hyderabad
Kevin Smith,IIT Bombay,Computer Science,2021,2025,9.9,Cybersecurity Analyst,"SQL, MATLAB, Linux","Cisco CCNA, AutoCAD Professional",Hyderabad
Heidi Delgado,IIT Bombay,Computer Science,2021,2025,9.36,Cybersecurity Analyst,"AutoCAD, Power BI",,Hyderabad
Albert Carrillo,IIT Bombay,Mechanical,2018,2022,9.19,Cybersecurity Analyst,"AutoCAD, Python",,Mumbai
Frederick Peterson,NIT Warangal,Mechanical,2016,2020,9.32,Mechanical Design Engineer,"C++, TensorFlow",Scrum Master,Bangalore
Brenda Owens,IIIT Hyderabad,Electronics,2017,2021,6.38,Software Engineer,"C++, Python, SQL, Power BI",AWS Certified,Delhi
Gregory Rosales,NIT Trichy,Mechanical,2022,2026,9.5,Civil Project Manager,"Linux, Java",AWS Certified,Chennai
Eddie Hughes,IIIT Hyderabad,Biotech,2016,2020,9.67,Biotech Researcher,"Excel, MATLAB, Power BI, SQL, Linux","Scrum Master, Google Data Analytics",Delhi
Michael Berry,NIT Trichy,Cybersecurity,2017,2021,7.71,ML Engineer,"R, TensorFlow, MATLAB","AutoCAD Professional, Google Data Analytics",Chennai
Erica Thomas,IIT Bombay,Data Science,2020,2024,6.52,ML Engineer,"AutoCAD, MATLAB",Google Data Analytics,Hyderabad
Kimberly Robinson,IIT Delhi,Electronics,2017,2021,7.63,Civil Project Manager,"Power BI, C++, Linux","AWS Certified, Scrum Master",Chennai
Samantha Ramsey,IIT Delhi,Cybersecurity,2020,2024,8.62,ML Engineer,"Linux, Excel, Python, TensorFlow, AutoCAD",,Chennai
Joseph Edwards,VIT,AI & ML,2019,2023,6.94,Civil Project Manager,"C++, Excel, Power BI, MATLAB, R",Scrum Master,Chennai
Brandi Vazquez,IIT Delhi,Electronics,2020,2024,6.21,Mechanical Design Engineer,"Power BI, Excel, MATLAB, TensorFlow, C++","Azure Fundamentals, AWS Certified",Ahmedabad
Nathan Hull,IIT Bombay,AI & ML,2016,2020,6.36,Systems Engineer,"Power BI, Linux",AutoCAD Professional,Ahmedabad
Jeremiah Sharp,IIT Bombay,Civil,2018,2022,9.68,Software Engineer,"Java, TensorFlow",,Pune
Paul Campbell,IIT Madras,Cybersecurity,2016,2020,7.27,Biotech Researcher,"Linux, SQL, Python, Power BI",,Chennai
Melissa Rogers,VIT,Cybersecurity,2020,2024,8.07,Biotech Researcher,"C++, Linux, Java, AutoCAD, Power BI","Scrum Master, Azure Fundamentals",Hyderabad
Stacey Allen,IIT Madras,Computer Science,2018,2022,8.15,Civil Project Manager,"Excel, Python",,Mumbai
Thomas Rios,IIIT Hyderabad,AI & ML,2015,2019,9.53,Mechanical Design Engineer,"MATLAB, Python, TensorFlow, R, AutoCAD",AWS Certified,Hyderabad
Erika Webb,NIT Trichy,Civil,2016,2020,8.26,ML Engineer,"Power BI, AutoCAD, MATLAB",Google Data Analytics,Chennai
John Elliott,IIT Madras,Data Science,2015,2019,8.97,ML Engineer,"Linux, Power BI, Excel, AutoCAD, C++",Azure Fundamentals,Delhi
Hannah Cherry,VIT,Civil,2016,2020,6.09,Systems Engineer,"R, Java, MATLAB","Cisco CCNA, AutoCAD Professional",Bangalore
Denise Haley,NIT Trichy,Computer Science,2017,2021,8.42,Cybersecurity Analyst,"Excel, Java, SQL, Linux, Power BI","Azure Fundamentals, Scrum Master",Bangalore
Amber Taylor,IIIT Hyderabad,Mechanical,2019,2023,8.02,ML Engineer,"R, AutoCAD, TensorFlow","Cisco CCNA, AWS Certified",Ahmedabad
David Young,NIT Trichy,Biotech,2017,2021,7.34,Cybersecurity Analyst,"C++, Excel, Python, SQL",Google Data Analytics,Mumbai
